dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,44,10,a1,output_weight_norm,baseline,148,0.9093551635742188
MNIST,medium,44,10,a1,output_weight_norm,baseline,149,0.6396760940551758
MNIST,medium,44,10,a1,output_weight_norm,baseline,150,1.1645095348358154
MNIST,medium,44,10,a1,output_weight_norm,baseline,151,0.9832589626312256
MNIST,medium,44,10,a1,output_weight_norm,baseline,152,0.9932400584220886
MNIST,medium,44,10,a1,output_weight_norm,baseline,153,1.403181791305542
MNIST,medium,44,10,a1,output_weight_norm,baseline,154,0.3987322449684143
MNIST,medium,44,10,a1,output_weight_norm,baseline,155,0.8337787389755249
MNIST,medium,44,10,a1,output_weight_norm,baseline,156,0.7558088898658752
MNIST,medium,44,10,a1,output_weight_norm,baseline,157,0.8522161245346069
MNIST,medium,44,10,a1,output_weight_norm,baseline,158,1.195210576057434
MNIST,medium,44,10,a1,output_weight_norm,baseline,159,0.901531457901001
MNIST,medium,44,10,a1,output_weight_norm,baseline,160,0.9375028014183044
MNIST,medium,44,10,a1,output_weight_norm,baseline,161,0.4206944704055786
MNIST,medium,44,10,a1,output_weight_norm,baseline,162,0.8037044405937195
MNIST,medium,44,10,a1,output_weight_norm,baseline,163,1.0730780363082886
MNIST,medium,44,10,a1,output_weight_norm,baseline,164,0.915474534034729
MNIST,medium,44,10,a1,output_weight_norm,baseline,165,1.2127715349197388
MNIST,medium,44,10,a1,output_weight_norm,baseline,166,0.8329340815544128
MNIST,medium,44,10,a1,output_weight_norm,baseline,167,0.9762087464332581
MNIST,medium,44,10,a1,output_weight_norm,baseline,168,0.868834912776947
MNIST,medium,44,10,a1,output_weight_norm,baseline,169,0.9354707598686218
MNIST,medium,44,10,a1,output_weight_norm,baseline,170,0.9975485801696777
MNIST,medium,44,10,a1,output_weight_norm,baseline,171,1.0155344009399414
MNIST,medium,44,10,a1,output_weight_norm,baseline,172,1.1627117395401
MNIST,medium,44,10,a1,output_weight_norm,baseline,173,1.1017177104949951
MNIST,medium,44,10,a1,output_weight_norm,baseline,174,0.75328129529953
MNIST,medium,44,10,a1,output_weight_norm,baseline,175,0.7995712161064148
MNIST,medium,44,10,a1,output_weight_norm,baseline,176,0.8943020105361938
MNIST,medium,44,10,a1,output_weight_norm,baseline,177,1.0456418991088867
MNIST,medium,44,10,a1,output_weight_norm,baseline,178,1.181435465812683
MNIST,medium,44,10,a1,output_weight_norm,baseline,179,1.1487263441085815
MNIST,medium,44,10,a1,output_weight_norm,baseline,180,1.2405964136123657
MNIST,medium,44,10,a1,output_weight_norm,baseline,181,0.9100073575973511
MNIST,medium,44,10,a1,output_weight_norm,baseline,182,1.0162745714187622
MNIST,medium,44,10,a1,output_weight_norm,baseline,183,1.000162124633789
MNIST,medium,44,10,a1,output_weight_norm,baseline,184,1.217760682106018
MNIST,medium,44,10,a1,output_weight_norm,baseline,185,1.4586769342422485
MNIST,medium,44,10,a1,output_weight_norm,baseline,186,0.906421422958374
