dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,175,0.8099161386489868
MNIST,medium,43,10,a1,output_weight_norm,baseline,176,0.9753860831260681
MNIST,medium,43,10,a1,output_weight_norm,baseline,177,1.0801985263824463
MNIST,medium,43,10,a1,output_weight_norm,baseline,178,1.0182515382766724
MNIST,medium,43,10,a1,output_weight_norm,baseline,179,0.917789876461029
MNIST,medium,43,10,a1,output_weight_norm,baseline,180,0.8794759511947632
MNIST,medium,43,10,a1,output_weight_norm,baseline,181,0.8527742624282837
MNIST,medium,43,10,a1,output_weight_norm,baseline,182,0.9971762895584106
MNIST,medium,43,10,a1,output_weight_norm,baseline,183,1.174669623374939
MNIST,medium,43,10,a1,output_weight_norm,baseline,184,1.21571946144104
MNIST,medium,43,10,a1,output_weight_norm,baseline,185,0.7918016314506531
MNIST,medium,43,10,a1,output_weight_norm,baseline,186,1.0062487125396729
MNIST,medium,43,10,a1,output_weight_norm,baseline,187,0.7708180546760559
MNIST,medium,43,10,a1,output_weight_norm,baseline,188,0.9422603249549866
MNIST,medium,43,10,a1,output_weight_norm,baseline,189,0.8690647482872009
MNIST,medium,43,10,a1,output_weight_norm,baseline,190,0.9700155854225159
MNIST,medium,43,10,a1,output_weight_norm,baseline,191,0.772346019744873
MNIST,medium,43,10,a1,output_weight_norm,baseline,192,1.1040374040603638
MNIST,medium,43,10,a1,output_weight_norm,baseline,193,1.1352746486663818
MNIST,medium,43,10,a1,output_weight_norm,baseline,194,0.837815523147583
MNIST,medium,43,10,a1,output_weight_norm,baseline,195,1.0794548988342285
MNIST,medium,43,10,a1,output_weight_norm,baseline,196,0.9110612869262695
MNIST,medium,43,10,a1,output_weight_norm,baseline,197,1.1705948114395142
MNIST,medium,43,10,a1,output_weight_norm,baseline,198,0.9278825521469116
MNIST,medium,43,10,a1,output_weight_norm,baseline,199,0.7964838147163391
MNIST,medium,43,10,a1,output_weight_norm,baseline,200,0.8608502745628357
MNIST,medium,43,10,a1,output_weight_norm,baseline,201,0.4959162473678589
MNIST,medium,43,10,a1,output_weight_norm,baseline,202,0.8071150779724121
MNIST,medium,43,10,a1,output_weight_norm,baseline,203,1.002022624015808
MNIST,medium,43,10,a1,output_weight_norm,baseline,204,1.1483912467956543
MNIST,medium,43,10,a1,output_weight_norm,baseline,205,1.215973973274231
MNIST,medium,43,10,a1,output_weight_norm,baseline,206,1.35775887966156
MNIST,medium,43,10,a1,output_weight_norm,baseline,207,1.1985712051391602
MNIST,medium,43,10,a1,output_weight_norm,baseline,208,0.987130343914032
MNIST,medium,43,10,a1,output_weight_norm,baseline,209,1.2133824825286865
MNIST,medium,43,10,a1,output_weight_norm,baseline,210,0.917779266834259
MNIST,medium,43,10,a1,output_weight_norm,baseline,211,1.023687720298767
MNIST,medium,43,10,a1,output_weight_norm,baseline,212,1.0375932455062866
MNIST,medium,43,10,a1,output_weight_norm,baseline,213,0.43496641516685486
MNIST,medium,43,10,a1,output_weight_norm,baseline,214,1.031760811805725
MNIST,medium,43,10,a1,output_weight_norm,baseline,215,0.5694423317909241
MNIST,medium,43,10,a1,output_weight_norm,baseline,216,0.9931818246841431
MNIST,medium,43,10,a1,output_weight_norm,baseline,217,1.2549000978469849
MNIST,medium,43,10,a1,output_weight_norm,baseline,218,0.42223045229911804
MNIST,medium,43,10,a1,output_weight_norm,baseline,219,0.40896716713905334
MNIST,medium,43,10,a1,output_weight_norm,baseline,220,1.0644222497940063
MNIST,medium,43,10,a1,output_weight_norm,baseline,221,0.7307310104370117
MNIST,medium,43,10,a1,output_weight_norm,baseline,222,0.7077174186706543
MNIST,medium,43,10,a1,output_weight_norm,baseline,223,0.9728030562400818
MNIST,medium,43,10,a1,output_weight_norm,baseline,224,1.0213853120803833
MNIST,medium,43,10,a1,output_weight_norm,baseline,225,0.9525212645530701
MNIST,medium,43,10,a1,output_weight_norm,baseline,226,0.9874722957611084
MNIST,medium,43,10,a1,output_weight_norm,baseline,227,0.968151330947876
MNIST,medium,43,10,a1,output_weight_norm,baseline,228,1.1399083137512207
MNIST,medium,43,10,a1,output_weight_norm,baseline,229,0.9026461839675903
MNIST,medium,43,10,a1,output_weight_norm,baseline,230,0.8486310243606567
MNIST,medium,43,10,a1,output_weight_norm,baseline,231,1.042901873588562
MNIST,medium,43,10,a1,output_weight_norm,baseline,232,1.08756422996521
MNIST,medium,43,10,a1,output_weight_norm,baseline,233,0.9965094923973083
MNIST,medium,43,10,a1,output_weight_norm,baseline,234,1.144350528717041
MNIST,medium,43,10,a1,output_weight_norm,baseline,235,0.9198505282402039
MNIST,medium,43,10,a1,output_weight_norm,baseline,236,0.9888806343078613
MNIST,medium,43,10,a1,output_weight_norm,baseline,237,1.3148216009140015
MNIST,medium,43,10,a1,output_weight_norm,baseline,238,0.9016475081443787
MNIST,medium,43,10,a1,output_weight_norm,baseline,239,0.7082758545875549
MNIST,medium,43,10,a1,output_weight_norm,baseline,240,0.6513915657997131
MNIST,medium,43,10,a1,output_weight_norm,baseline,241,0.9282969236373901
MNIST,medium,43,10,a1,output_weight_norm,baseline,242,0.9375610947608948
MNIST,medium,43,10,a1,output_weight_norm,baseline,243,0.604045569896698
MNIST,medium,43,10,a1,output_weight_norm,baseline,244,1.1799051761627197
MNIST,medium,43,10,a1,output_weight_norm,baseline,245,0.4473338723182678
MNIST,medium,43,10,a1,output_weight_norm,baseline,246,1.3327642679214478
MNIST,medium,43,10,a1,output_weight_norm,baseline,247,1.1505967378616333
MNIST,medium,43,10,a1,output_weight_norm,baseline,248,1.1609747409820557
MNIST,medium,43,10,a1,output_weight_norm,baseline,249,1.1523668766021729
MNIST,medium,43,10,a1,output_weight_norm,baseline,250,1.108575463294983
MNIST,medium,43,10,a1,output_weight_norm,baseline,251,1.521539330482483
MNIST,medium,43,10,a1,output_weight_norm,baseline,252,0.77252596616745
MNIST,medium,43,10,a1,output_weight_norm,baseline,253,0.8426274061203003
MNIST,medium,43,10,a1,output_weight_norm,baseline,254,1.3501818180084229
MNIST,medium,43,10,a1,output_weight_norm,baseline,255,0.9188207387924194
MNIST,medium,43,10,a1,output_weight_norm,baseline,256,0.9045581221580505
MNIST,medium,43,10,a1,output_weight_norm,baseline,257,0.9383678436279297
MNIST,medium,43,10,a1,output_weight_norm,baseline,258,0.39928293228149414
MNIST,medium,43,10,a1,output_weight_norm,baseline,259,1.052605390548706
MNIST,medium,43,10,a1,output_weight_norm,baseline,260,0.9357886910438538
MNIST,medium,43,10,a1,output_weight_norm,baseline,261,1.0053043365478516
MNIST,medium,43,10,a1,output_weight_norm,baseline,262,1.1785115003585815
MNIST,medium,43,10,a1,output_weight_norm,baseline,263,1.1593624353408813
MNIST,medium,43,10,a1,output_weight_norm,baseline,264,1.486882209777832
MNIST,medium,43,10,a1,output_weight_norm,baseline,265,0.9767734408378601
MNIST,medium,43,10,a1,output_weight_norm,baseline,266,0.7215719223022461
MNIST,medium,43,10,a1,output_weight_norm,baseline,267,0.4784703254699707
MNIST,medium,43,10,a1,output_weight_norm,baseline,268,1.3821254968643188
MNIST,medium,43,10,a1,output_weight_norm,baseline,269,0.8981430530548096
MNIST,medium,43,10,a1,output_weight_norm,baseline,270,1.451764702796936
MNIST,medium,43,10,a1,output_weight_norm,baseline,271,1.0656869411468506
MNIST,medium,43,10,a1,output_weight_norm,baseline,272,0.7259794473648071
MNIST,medium,43,10,a1,output_weight_norm,baseline,273,0.9097302556037903
MNIST,medium,43,10,a1,output_weight_norm,baseline,274,0.4075007736682892
MNIST,medium,43,10,a1,output_weight_norm,baseline,275,0.43829023838043213
MNIST,medium,43,10,a1,output_weight_norm,baseline,276,0.9450573325157166
MNIST,medium,43,10,a1,output_weight_norm,baseline,277,0.5524245500564575
MNIST,medium,43,10,a1,output_weight_norm,baseline,278,1.008220911026001
MNIST,medium,43,10,a1,output_weight_norm,baseline,279,0.878294825553894
MNIST,medium,43,10,a1,output_weight_norm,baseline,280,1.0779783725738525
MNIST,medium,43,10,a1,output_weight_norm,baseline,281,1.0746575593948364
MNIST,medium,43,10,a1,output_weight_norm,baseline,282,0.8613271117210388
MNIST,medium,43,10,a1,output_weight_norm,baseline,283,0.9096622467041016
MNIST,medium,43,10,a1,output_weight_norm,baseline,284,1.118024468421936
MNIST,medium,43,10,a1,output_weight_norm,baseline,285,1.0909819602966309
MNIST,medium,43,10,a1,output_weight_norm,baseline,286,1.2523919343948364
MNIST,medium,43,10,a1,output_weight_norm,baseline,287,1.2381070852279663
MNIST,medium,43,10,a1,output_weight_norm,baseline,288,0.7569077014923096
MNIST,medium,43,10,a1,output_weight_norm,baseline,289,1.0365080833435059
MNIST,medium,43,10,a1,output_weight_norm,baseline,290,1.1632978916168213
MNIST,medium,43,10,a1,output_weight_norm,baseline,291,1.1495641469955444
MNIST,medium,43,10,a1,output_weight_norm,baseline,292,0.8811255693435669
MNIST,medium,43,10,a1,output_weight_norm,baseline,293,1.0321738719940186
MNIST,medium,43,10,a1,output_weight_norm,baseline,294,0.9374824166297913
MNIST,medium,43,10,a1,output_weight_norm,baseline,295,0.42582759261131287
MNIST,medium,43,10,a1,output_weight_norm,baseline,296,1.2484079599380493
MNIST,medium,43,10,a1,output_weight_norm,baseline,297,0.4127202033996582
MNIST,medium,43,10,a1,output_weight_norm,baseline,298,0.8496456742286682
MNIST,medium,43,10,a1,output_weight_norm,baseline,299,1.4116653203964233
MNIST,medium,43,10,a1,output_weight_norm,baseline,300,0.8720828294754028
MNIST,medium,43,10,a1,output_weight_norm,baseline,301,0.9960813522338867
MNIST,medium,43,10,a1,output_weight_norm,baseline,302,0.9577921628952026
MNIST,medium,43,10,a1,output_weight_norm,baseline,303,0.9939598441123962
MNIST,medium,43,10,a1,output_weight_norm,baseline,304,1.003420114517212
MNIST,medium,43,10,a1,output_weight_norm,baseline,305,0.9764785170555115
MNIST,medium,43,10,a1,output_weight_norm,baseline,306,1.0092912912368774
MNIST,medium,43,10,a1,output_weight_norm,baseline,307,1.1946773529052734
MNIST,medium,43,10,a1,output_weight_norm,baseline,308,1.135988712310791
MNIST,medium,43,10,a1,output_weight_norm,baseline,309,1.1970502138137817
MNIST,medium,43,10,a1,output_weight_norm,baseline,310,1.0398668050765991
MNIST,medium,43,10,a1,output_weight_norm,baseline,311,1.0905698537826538
MNIST,medium,43,10,a1,output_weight_norm,baseline,312,0.7907562255859375
MNIST,medium,43,10,a1,output_weight_norm,baseline,313,1.1482558250427246
MNIST,medium,43,10,a1,output_weight_norm,baseline,314,0.9263339042663574
MNIST,medium,43,10,a1,output_weight_norm,baseline,315,0.9096949696540833
